Category,Message
ham,what im saying is if you havent explicitly told nora i know someone im probably just not gonna bother
ham,im done c _ there
ham,what your plan for pongal
ham,i know you are can you pls open the back
ham,u come n search tat vidnot finishd
ham,im reaching home in  min
ham,what you thinked about me first time you saw me in class
ham,ill post her out lr in class
ham,awesome be there in a minute
ham,its fine imma get a drink or somethin want me to come find you
ham,hey leave it not a big deal take care
ham,you still at grand prix
ham,ok i am a gentleman and will treat you with dignity and respect
spam,"\urgent this is the nd attempt to contact uu have won call  b tcsbcmwcnxxcallcostppmmobilesvary max \"""""
ham,mmm so yummy babe  nice jolt to the suzy
ham,dont worry i guess hes busy
ham,going for dinnermsg you after
spam,get  lions england tone reply lionm  mono or lionp  poly  more go  wwwringtonescouk the original n best tones gbp network operator rates apply
spam, urgent your mobile no xxxxxxxxx won a  bonus caller prize on  this is the nd attempt to reach you call  asap
spam,this message is free welcome to the new  improved sex  dogging club to unsubscribe from this service reply stop msgsp  only
ham,k do i need a login or anything
ham,great never been better each day gives even more reasons to thank god
ham,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meare you missing me 
ham,i am not sure about night menu   i know only about noon menu
ham,your account has been refilled successfully by inr  ltdecimalgt  your keralacircle prepaid account balance is rs  ltdecimalgt  your transaction id is kr ltgt 
ham," wonders in my world th you th ur style th ur smile th ur personality rd ur nature nd ur sms and st \ur lovely friendship\"" good morning dear"""
ham,am in gobi arts college
ham,i got to video tape pple type in message lor u so free wan  help me hee cos i noe u wan  watch infernal affairs so ask u along asking shuhui oso
ham,dear good morning how you feeling dear
ham,\shit babe thasa bit messed upyeh
ham,no im not i cant give you everything you want and need you actually could do better for yourself on yor ownyouve got more money than i do i cant get work i cant get a man i cant pay the rent i cant even fill my fucking gas tank yes im stressed and depressed i didnt even call home for thanksgiving cuz ill have to tell them im up to nothing
ham,kkapo kgood movie
ham,sac needs to carry on
ham,printer is cool i mean groovy wine is groovying
ham,good morning my love  i go to sleep now and wish you a great day full of feeling better and opportunity  you are my last thought babe i love you kiss
spam,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to   sptyrone
ham,good afternon my love how are today i hope your good and maybe have some interviews i wake and miss you babe a passionate kiss from across the sea
ham,havent stuck at orchard in my dads car going  dinner now u leh so r they free tonight
ham,dont necessarily expect it to be done before you get back though because im just now headin out
ham,therell be a minor shindig at my place later tonight you interested
ham,moji just informed me that you saved our lives thanks
ham,yeah we do totes when u wanna
ham,yes fine 
spam,do you want a new nokia i colour phone deliveredtomorrow with  free minutes to any mobile   free texts  free camcorder reply or call 
ham,my stomach has been thru so much trauma i swear i just cant eat i better lose weight
ham,hmmmy uncle just informed me that hes paying the school directly so pls buy food
spam,you wont believe it but its true its incredible txts reply g now to learn truly amazing things that will blow your mind from ofwd only ptxt
ham,aight ill grab something to eat too text me when youre back at mu
ham,no did you multimedia message them or email
ham,then why no one talking to me
ham,aiyar hard  type u later free then tell me then i call n scold n tell u
ham,aight text me when youre back at mu and ill swing by need somebody to get the door for me
ham,ill meet you in the lobby
ham,"beautiful truth against gravity read carefully \our heart feels light when someone is in it but it feels very heavy when someone leaves it\"" goodmorning"""
ham,you are sweet as well princess please tell me your likes and dislikes in bed
ham,are you plans with your family set in stone 
ham,are you at work right now 
ham,do you want bold  or bb torch
ham,busy here trying to finish for new year i am looking forward to finally meeting you
spam,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge
ham,but we havent got da topic yet rite
ham,book which lesson then you msg me i will call up after work or sth im going to get specs my membership is px
ham,im still looking for a car to buy and have not gone the driving test yet
spam,join the uks horniest dogging service and u can have sex nite just sign up and follow the instructions txt entry to  now nytecalpmsgp
spam,hi im sue i am  years old and work as a lapdancer i love sex text me live  im i my bedroom now text sue to  by textoperator g da ppmsg 
ham,thanks for being there for me just to talk to on saturday you are very dear to me i cherish having you as a brother and role model
ham,as in different styles
ham,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
ham,i know girls always safe and selfish know i got it pa thank you good night
ham,do we have any spare power supplies
spam,win a  shopping spree every week starting now  play text store to  skilgme tscs winawk age perweeksub
ham,ok then i will come to ur home after half an hour
ham,i keep ten rs in my shelf buy two egg
ham,o guess they both got screwd
ham,how are you just checking up on you
ham,i knew it u slept v late yest wake up so late
ham,did u fix the teethif not do it asapok take care
ham,probably gonna be here for a while see you later tonight lt
ham,the guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me im nervous because of course now he may have my address should i call his boss and tell him knowing this may get him fired
ham,hi its in durban are you still on this number
ham,i don know account detailsi will ask my mom and send youmy mom is out of reach now
ham,lol for real she told my dad i have cancer
ham,nvm take ur time
ham,yes princess i want to please you every night your wish is my command
ham,okok okthenwhats ur todays plan
ham,well theres not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going
ham,men always needs a beautiful intelligent caring loving adjustable cooperative wife but the law allows only one wife
ham,ill leave around four ok
ham,ok
ham,are you still playing with gautham
ham,kkyesterday i was in cbe 
ham,but you dint in touch with me
ham, at the latest gs still there if you can scrounge up some ammo and want to give the new ak a try
ham, what number do u live at is it 
ham,i cant pick the phone right now pls send a message
ham,really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf  study 
ham,aight sounds good when do you want me to come down
spam,you have  new message please call 
ham,customer place i will call you
ham,can you plz tell me the ans bslvyl sent via fullonsmscom
ham,i cant talk to you nowi will call when i candont keep calling
ham,apart from the one i told you about yesterday
ham,hi happy new year i dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is thanks
ham,probably want to pick up more
ham,no drama plsi have had enough from you and family while i am struggling in the hot sun in a strange placeno reason why there should be an ego of not going if not invited when actually its necessity to gowait for very serious reppurcussions
ham,infact happy new year how are you where are you when are we seeing
spam,ur tonexs subscription has been renewed and you have been charged  you can choose  more polys this month wwwclubzedcouk billing msg
ham,kkim going to tirunelvali this week to see my uncle i already spend the amount by taking dress so only i want moneyi will give it on feb 
ham,ball is moving a lotwill spin in last so very difficult to bat
ham,just sing hu i think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through even things like choosing a phone plan require guidance when in doubt ask especially girls
ham,well you told others youd marry them
ham,havent planning to buy later i check already lido only got  show in e afternoon u finish work already
ham,can come my room but cannot come my house cos my house still messy haha
ham,yeah give me a call if youve got a minute
spam,not heard from u a while call  rude chat private line  to cum wan c pics of me gettin shagged then text pix to  end send stop  sam xxx
spam,sms services for your inclusive text credits pls goto wwwcomuknet login qxj unsubscribe with stop no extra charge help comuk cm ae
ham,no objection my bf not coming
ham,how is your schedule next week i am out of town this weekend
ham,so now my dad is gonna call after he gets out of work and ask all these crazy questions
ham,i am late i will be there at
ham,oops my phone died and i didnt even know yeah i like it better
ham,deep sigh  i miss you   i am really surprised you havent gone to the net cafe yet to get to me  dont you miss me
ham,sorry man accidentally left my phone on silent last night and didnt check it til i got up
ham,a bit of ur smile is my hppnss a drop of ur tear is my sorrow a part of ur heart is my life a heart like mine wil care for u forevr as my goodfriend
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or  to claim txt dis to  morefrmmob shracomorsglsuplt ls aj
ham,frndship is like a needle of a clock though v r in d same clock v r nt able  met evn if v meetitz only few seconds bt v alwys stay conected gud t
ham,my fri ah okie lorgoin  my drivin den go shoppin after tt
ham,how are you doing hope youve settled in for the new school year just wishin you a gr day
ham,are you happy baby  are you alright  did you take that job  i hope your fine i send you a kiss to make you smile from across the sea  kiss kiss
ham,well the weather in calis great but its complexities are great you need a car to move freely its taxes are outrageous but all in all its a great place the sad part is i missing home
ham,babe how goes that day  what are you up to  i miss you already my love   loving kiss  i hope everything goes well
ham,kinda first one gets in at twelve aah speak tomo
spam,natalja f is inviting you to be her friend reply yes or no see her wwwsmsacunat stop send stop frnd to 
ham,i love you both too 
ham,when u wana see it then
ham,thats cool ill come by like  ltgt ish
ham,well im gonna finish my bath now have a goodfine night
ham, pa but not selected
ham,"beautiful truth against gravity read carefully \our heart feels light when someone is in it but it feels very heavy when someone leaves it\"" goodmorning"""
spam,tells u  call  to claim  prize u have  enter all ur mobile  personal details  the prompts careful
ham,so no messages had food
ham,am on the uworld site am i buying the qbank only or am i buying it with the self assessment also
ham,hui xin is in da lib
spam,phony  award  todays voda numbers ending xxxx are selected to receive a  award if you have a match please call  quoting claim code  standard rates app
ham,i have  docs appointments next week im tired of them shoving stuff up me ugh why couldnt i have had a normal body
ham,i cant pick the phone right now pls send a message
ham, pa but not selected
ham,yo guess what i just dropped
ham,are you the cutest girl in the world or what
ham,ok u can take me shopping when u get paid d
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or  to claim txt dis to  morefrmmob shracomorsglsuplt ls aj
ham,k do i need a login or anything
ham,purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng musthu
ham,how do friends help us in problems they give the most stupid suggestion that lands us into another problem and helps us forgt the previous problem
ham,hi darlin im missin u hope you are having a good time when are u back and what time if u can give me a call at home jess xx
ham,yes baby we can study all the positions of the kama sutra 
spam,cds u congratulations ur awarded  of cd gift vouchers or  gift guaranteed  freeentry   wkly draw xt music to  tncs wwwldewcomwinppmxage 
ham,hey you can pay with salary de only  ltgt 
spam,knock knock txt whose there to  to enter r weekly draw  a  gift voucher  a store of yr choice tcs wwwtklscom age to stoptxtstopweek
ham,remember on that day
ham,tell my  bad character which u dnt lik in me ill try to change in  ltgt  i ll add tat  my new year resolution waiting for ur replybe frankgood morning
ham,i dunno they close oredi not  v ma fan
ham,yeah get the unlimited
spam,how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night
ham,arun can u transfr me d amt
ham,lil fever now fine
ham,dunno i juz askin cos i got a card got  off  a salon called hair sense so i tot its da one _ cut ur hair 
ham,no we put party  days a week and study lightly i think we need to draw in some custom checkboxes so they know were hardcore
ham,sorry ill call later
ham,no objection my bf not coming
ham,hii got the money da
spam,you have won a guaranteed  cash or a  prizeto claim yr prize call our customer service representative on
ham,if u sending her home first its ok lor im not ready yet
spam,santa calling would your little ones like a call from santa xmas eve call  to book your time
ham,thats cool ill come by like  ltgt ish
ham,kkapo kgood movie
ham,oh kay on sat right
ham,i havent add _ yet right 
ham,nothing i got msg frm tht unknown no
ham,i wud never mind if u dont miss me or if u dont need me but u wil really hurt me wen u need me amp u dont tell me take care
ham,my house here e sky quite dark liao if raining then got excuse not  run already rite hee
ham,just looked it up and addie goes back monday sucks to be her
ham,lmao you know me so well
ham,yay cant wait to party together
ham,aiyar hard  type u later free then tell me then i call n scold n tell u
spam,am new  club  dont fink we met yet will b gr  c u please leave msg day wiv ur area  reply promised carlie x callsminmobsmore lkpoboxhpfl
ham,ok lor _ reaching then message me
ham,sad story of a man  last week was my bday my wife didnt wish me my parents forgot n so did my kids  i went to work even my colleagues did not wish
spam,update_now  xmas offer latest motorola sonyericsson  nokia  free bluetooth double mins   txt on orange call mobileupd on  or calloptoutfq
ham,aight text me tonight and well see whats up
ham,nationwide auto centre or something like that on newport road i liked them there
ham,understand his loss is my gain  so do you work school
ham,aww thats the first time u said u missed me without asking if i missed u first you do love me 
ham,yar lor he wan  go c horse racing today mah so eat earlier lor i ate chicken rice u
ham,ard  lor
ham, ltdecimalgt m but its not a common car here so its better to buy from china or asia or if i find it less expensive ill holla
ham,im leaving my house now
ham,send me your id and password
spam,pdate_now  double mins and  txts on orange tariffs latest motorola sonyericsson  nokia  bluetooth free call mobileupd on  or calloptoutyhl
ham,i take it the post has come then you must have s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him
ham,lol yes but it will add some spice to your day
ham,i havent forgotten you i might have a couple bucks to send you tomorrow k i love ya too
ham,i dont think so you dont need to be going out that late on a school night especially when the one class you have is the one you missed last wednesday and probably failed a test in on friday
ham,y lei
ham,yar i wanted  scold u yest but late already i where got zhong se qing you if u ask me b he ask me then ill go out w u all lor n u still can act so real
ham,i dont want you to leave but im barely doing what i can to stay sane fighting with you constantly isnt helping
ham,i will be gentle princess we will make sweet gentle love
ham,tomarrow i want to got to court at  ltdecimalgt  so you come to bus stand at 
ham,just making dinner you 
ham,hi my email address has changed now it is 
ham,save yourself the stress if the person has a dorm account just send your account details and the money will be sent to you
ham,no problem how are you doing
ham,wah lucky man then can save money hee
ham,so no messages had food
ham,k will do addie amp i are doing some art so ill be here when you get home
spam,free st week entry  textpod  a chance  win gb ipod or  cash every wk txt pod to  tscs wwwtextpodnet custcare 
ham,great to hear you are settling well so whats happenin wit ola
ham,i thk  shd be ok he said plus minus  did _ leave a line in between paragraphs
ham,as in i want custom officer discount oh
ham,i wont so wats wit the guys
ham,yeah probably here for a while
ham,"best line said in love  \i will wait till the day i can forget u or the day u realize that u cannot forget me\"" gn"""
ham,depends on quality if you want the type i sent boye faded glory then about  if you want ralphs maybe 
ham,as usualiam fine happy amp doing well
ham,yo you around a friend of mines lookin to pick up later tonight
ham,have a good trip watch out for  remember when you get back we must decide about easter
ham,thanx today cer it was nice  catch up but we ave  find more time more often oh well take care c u soonc
ham,yup thk of u oso boring wat
ham,ello babe u ok
ham,have you been practising your curtsey
ham,alrite
ham,im still looking for a car to buy and have not gone the driving test yet
ham,he says hi and to get your ass back to south tampa preferably at a kegger
spam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to   sptyrone
ham,can a not
spam,do you want a new video handset  anytime any network mins half price line rental camcorder reply or call  for delivery tomorrow
ham,you have come into my life and brought the sun shiny down on me warming my heart putting a constant smile on my face  making me feel loved and cared for
ham,did u download the fring app
ham,din i tell u jus now 
spam,had your mobile mths  update for free to oranges latest colour camera mobiles  unlimited weekend calls call mobile upd on freefone  or stoptxt
ham,yunny im goin to be late
spam,private your  account statement for  shows  unredeemed s i m points call  identifier code  expires 
ham,yo dude guess who just got arrested the other day
spam,okmail dear dave this is your final notice to collect your  tenerife holiday or  cash award call  from landline tcs sae box cwwx ppm
ham,hai priya are you right what doctor said pa where are you
ham,im leaving my house now
ham,how much did ur hdd casing cost
ham,ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear
ham,what todaysundaysunday is holidayso no work
ham,ooh got im gonna start belly dancing in moseley weds  if u want  join me they have a cafe too 
ham,went fast asleep deartake care
ham,lmao take a pic and send it to me
ham,im thinking that chennai forgot to come for auction
ham,aiyah u did ok already lar e nydc at wheellock
ham,ok lor then we go tog lor
ham,im aight wats happening on your side
ham,k wait chikkuil send aftr  ltgt mins
ham,bring tat cd don forget
ham,lol yeah at this point i guess not
spam,no  nokia tone  ur mob every week just txt nok to  st tone free  so get txtin now and tell ur friends ptone  reply hl info
ham,congrats  treat pendingi am not on mail for  dayswill mail once thrurespect mother at homecheck mails
ham,tell her i said eat shit
ham,pls whats the full name of jokes school cos fees in university of florida seem to actually be  ltgt k pls holla back
ham,if he started searching he will get job in few dayshe have great potential and talent
ham,"\cheers u tex mecause u werebored yeah okden hunny r uin wk satsounds likeyour havin grfun j keep updat countinlots of loveme xxxxx\"""""
spam,last chance  claim ur  worth of discount voucherstext yes to  nowsavamobmember offers mobile t cs   sub   remove txt x or stop
ham,oh kkwhere did you take test
ham,sun ah thk mayb can if dun have anythin on thk have to book e lesson e pilates is at orchard mrt u noe hor  
spam,your bu voucher wc  is marsms log onto wwwbutelecom for discount credit to opt out reply stop customer care call 
ham,cos i was out shopping wif darren jus now n i called him  ask wat present he wan lor then he started guessing who i was wif n he finally guessed darren lor
ham,yo call me when you get the chance a friend of mine wanted me to ask you about a big order
spam,had your mobile mths  update for free to oranges latest colour camera mobiles  unlimited weekend calls call mobile upd on freefone  or stoptxt
ham,draw vai dont think so
ham,thing r good thanx got exams in march ive done no revision is fran still with boyf ive gotta interviw  exeter bit worriedx
ham,i dont quite know what to do i still cant get hold of anyone i cud pick you up bout pm and we can see if theyre in the pub
ham,"\alrite hunnywot u up  nite didnt end up goin down town jus da pub instead jus chillin at da mo in me bedroomlove jen xxx\"""""
ham,yup im free
ham,its a site to simulate the test it just gives you very tough questions to test your readiness
ham,stop knowing me so well
ham,fighting with the world is easy u either win or lose bt fightng with some who is close to u is dificult if u lose  u lose if u win  u still lose
ham, at the latest gs still there if you can scrounge up some ammo and want to give the new ak a try
ham,ok
ham,and by when youre done i mean now
spam,private your  account statement for  xxxxxx shows  unredeemed s i m points call  identifier code  expires 
ham,ok both our days so what are you making for dinner tonite am i invited
ham,my uncles in atlanta wish you guys a great semester
ham,turns out my friends are staying for the whole show and wont be back til  ltgt  so feel free to go ahead and smoke that  ltgt  worth
spam,get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to  optout txt eng stop box wwx 
ham,gud ni dearslp welltake careswt dreamsmuah
ham,how is my boy no sweet words left for me this morning  sighs  how goes you day my love  did you start your studying
ham,sorry man my stash ran dry last night and i cant pick up more until sunday
ham,do u noe wat time e place dat sells d closes
ham,you can jot down things you want to remember later
ham,come to mahal bus stop ltdecimalgt
spam,orange brings you ringtones from all time chart heroes with a free hit each week go to ringtones  pics on wap to stop receiving these tips reply stop
ham,purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng musthu
ham,im gonna say no sorry i would but as normal am starting to panic about time sorry again are you seeing on tuesday
ham,when people see my msgs they think iam addicted to msging they are wrong bcoz they don\t know that iam addicted to my sweet friends bslvyl
ham,so hows the weather over there
ham,stupidits not possible
ham,ok lor i ned  go toa payoh  a while  return smth u wan  send me there or wat
ham,mum say we wan to go then go then she can shun bian watch da glass exhibition 
spam,interflora  its not too late to order interflora flowers for christmas call   to place your order before midnight tomorrow
ham,cud u tell ppl im gona b a bit l cos  buses hav gon past cos they were full  im still waitin   pete x
spam,someone u know has asked our dating service  contact you cant guess who call  now all will be revealed po box m wu
ham,sure but since my parents will be working on tuesday i dont really need a cover story
ham,sent me ur email id soon
ham,i love u  babe r u sure everything is alrite is he being an idiot txt bak girlie
spam,new tones this week include mcflyall ab  sara jorgeshock  will smithswitch to order follow instructions on next message
